"Title:","Employed from the Current Population Survey: Labor Force Statistics Database"
"SubTitle:","USA - Industry: Retail trade - Filter: Absence - Filter Item: N/A - Indicator: (seas) Employment Level - Retail Trade Industry, Both sexes LNS12034568"
"Time:","01/1983 - 08/2022"
"Unit of Measure:","Number in thousands"
"Citation:","United States Census Bureau, Bureau of Labor Statistics (2022-09-16). Current Population Survey: Labor Force Statistics: Employed | Retail trade | Absence | N/A | (seas) Employment Level - Retail Trade Industry, Both sexes LNS12034568, 01/1983 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-042-004 doi:https://doi.org/10.6068/DP184765D22A67"
"ColumnCount:",2
"RowCount:",476

"Time","Retail trade, Absence, N/A, (seas) Employment Level - Retail Trade Industry, Both sexes LNS12034568 (Number in thousands)"
"10/2008",16606
"11/2008",16320
"12/2008",16476
"01/2009",15992
"02/2009",16176
"03/2009",16135
"04/2009",15899
"05/2009",15967
"06/2009",16008
"07/2009",15913
"08/2009",15953
"09/2009",15700
"10/2009",15582
"11/2009",15612
"12/2009",15581
"01/2010",15716
"02/2010",15882
"03/2010",16104
"04/2010",16121
"05/2010",15896
"06/2010",15818
"07/2010",15701
"08/2010",15822
"09/2010",15959
"10/2010",16005
"11/2010",16130
"12/2010",16059
"01/2011",16037
"02/2011",15911
"03/2011",15644
"04/2011",15699
"05/2011",15892
"06/2011",15836
"07/2011",15891
"08/2011",15894
"09/2011",16115
"10/2011",16058
"11/2011",16099
"12/2011",16043
"01/2012",16068
"02/2012",16110
"03/2012",16180
"04/2012",16076
"05/2012",16096
"06/2012",16296
"07/2012",16301
"08/2012",16268
"09/2012",16277
"10/2012",16251
"11/2012",16102
"12/2012",16179
"01/2013",16335
"02/2013",15882
"03/2013",15695
"04/2013",16099
"05/2013",16214
"06/2013",16053
"07/2013",16122
"08/2013",16066
"09/2013",15917
"10/2013",15840
"11/2013",15906
"12/2013",15983
"01/2014",15999
"02/2014",16381
"03/2014",16641
"04/2014",16923
"05/2014",16692
"06/2014",16700
"07/2014",16820
"08/2014",16288
"09/2014",16469
"10/2014",16703
"11/2014",16793
"12/2014",16900
"01/2015",16673
"02/2015",16850
"03/2015",16718
"04/2015",16651
"05/2015",16880
"06/2015",16733
"07/2015",16802
"08/2015",16823
"09/2015",16719
"10/2015",16445
"11/2015",16494
"12/2015",16401
"01/2016",16670
"02/2016",16857
"03/2016",16591
"04/2016",16385
"05/2016",16288
"06/2016",16283
"07/2016",16448
"08/2016",16594
"09/2016",16569
"10/2016",16756
"11/2016",16704
"12/2016",16740
"01/2017",17168
"02/2017",16972
"03/2017",16976
"04/2017",16889
"05/2017",16559
"06/2017",16609
"07/2017",16479
"08/2017",16471
"09/2017",16871
"10/2017",16559
"11/2017",16563
"12/2017",16509
"01/2018",16487
"02/2018",16496
"03/2018",16504
"04/2018",16311
"05/2018",16386
"06/2018",16827
"07/2018",16761
"08/2018",16812
"09/2018",16680
"10/2018",16651
"11/2018",16662
"12/2018",16566
"01/2019",16014
"02/2019",15891
"03/2019",16092
"04/2019",15983
"05/2019",16501
"06/2019",16202
"07/2019",16260
"08/2019",16255
"09/2019",16334
"10/2019",16653
"11/2019",16121
"12/2019",16276
"01/2020",16266
"02/2020",16198
"03/2020",15947
"04/2020",13551
"05/2020",14228
"06/2020",14790
"07/2020",15422
"08/2020",15562
"09/2020",15869
"10/2020",16434
"11/2020",16717
"12/2020",16210
"01/2021",16202
"02/2021",16320
"03/2021",16411
"04/2021",16249
"05/2021",16211
"06/2021",16174
"07/2021",16223
"08/2021",16169
"09/2021",15861
"10/2021",15988
"11/2021",16088
"12/2021",16181
"01/2022",16403
"02/2022",16463
"03/2022",16376
"04/2022",16216
"05/2022",16583
"06/2022",16628
"07/2022",16320
"08/2022",16356



"Publisher:", "Bureau of Labor Statistics"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
