"Title:","Employed from the Current Population Survey: Labor Force Statistics Database"
"SubTitle:","USA - Industry: All Industries - Filter: Absence - Filter Item: N/A - Indicator: (Seas) Employment Level LNS12000000"
"Time:","01/1948 - 08/2022"
"Unit of Measure:","Number in thousands"
"Citation:","United States Census Bureau, Bureau of Labor Statistics (2022-09-16). Current Population Survey: Labor Force Statistics: Employed | All Industries | Absence | N/A | (Seas) Employment Level LNS12000000, 01/1948 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-042-004 doi:https://doi.org/10.6068/DP184764AAB1D4"
"ColumnCount:",2
"RowCount:",896

"Time","All Industries, Absence, N/A, (Seas) Employment Level LNS12000000 (Number in thousands)"
"03/1974",86819
"04/1974",86669
"05/1974",86891
"06/1974",86941
"07/1974",87149
"08/1974",87037
"09/1974",87051
"10/1974",86995
"11/1974",86626
"12/1974",86144
"01/1975",85627
"02/1975",85256
"03/1975",85187
"04/1975",85189
"05/1975",85451
"06/1975",85355
"07/1975",85894
"08/1975",86234
"09/1975",86279
"10/1975",86370
"11/1975",86456
"12/1975",86665
"01/1976",87400
"02/1976",87672
"03/1976",87985
"04/1976",88416
"05/1976",88794
"06/1976",88563
"07/1976",89093
"08/1976",89223
"09/1976",89173
"10/1976",89274
"11/1976",89634
"12/1976",89803
"01/1977",89928
"02/1977",90342
"03/1977",90808
"04/1977",91271
"05/1977",91754
"06/1977",91959
"07/1977",92084
"08/1977",92441
"09/1977",92702
"10/1977",93052
"11/1977",93761
"12/1977",94105
"01/1978",94384
"02/1978",94519
"03/1978",94755
"04/1978",95394
"05/1978",95769
"06/1978",96343
"07/1978",96090
"08/1978",96431
"09/1978",96670
"10/1978",97133
"11/1978",97485
"12/1978",97581
"01/1979",97948
"02/1979",98329
"03/1979",98480
"04/1979",98103
"05/1979",98331
"06/1979",98679
"07/1979",99006
"08/1979",98776
"09/1979",99340
"10/1979",99404
"11/1979",99574
"12/1979",99933
"01/1980",99879
"02/1980",99995
"03/1980",99713
"04/1980",99233
"05/1980",98945
"06/1980",98682
"07/1980",98796
"08/1980",98824
"09/1980",99077
"10/1980",99317
"11/1980",99545
"12/1980",99634
"01/1981",99955
"02/1981",100191
"03/1981",100571
"04/1981",101056
"05/1981",101048
"06/1981",100298
"07/1981",100693
"08/1981",100689
"09/1981",100064
"10/1981",100378
"11/1981",100207
"12/1981",99645
"01/1982",99692
"02/1982",99762
"03/1982",99672
"04/1982",99576
"05/1982",100116
"06/1982",99543
"07/1982",99493
"08/1982",99633
"09/1982",99504
"10/1982",99215
"11/1982",99112
"12/1982",99032
"01/1983",99161
"02/1983",99089
"03/1983",99179
"04/1983",99560
"05/1983",99642
"06/1983",100633
"07/1983",101208
"08/1983",101608
"09/1983",102016
"10/1983",102039
"11/1983",102729
"12/1983",102996
"01/1984",103201
"02/1984",103824
"03/1984",103967
"04/1984",104336
"05/1984",105193
"06/1984",105591
"07/1984",105435
"08/1984",105163
"09/1984",105490
"10/1984",105638
"11/1984",105972
"12/1984",106223
"01/1985",106302
"02/1985",106555
"03/1985",106989
"04/1985",106936
"05/1985",106932
"06/1985",106505
"07/1985",106807
"08/1985",107095
"09/1985",107657
"10/1985",107847
"11/1985",108007
"12/1985",108216
"01/1986",108887
"02/1986",108480
"03/1986",108837
"04/1986",108952
"05/1986",109089
"06/1986",109576
"07/1986",109810
"08/1986",110015
"09/1986",110085
